,role,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025,education,responsibility,yoe_x,company,socio_economic,2018_2019_mean,2019_2020_mean,2020_2021_mean,2021_2022_mean,2022_2023_mean,2023_2024_mean,2024_2025_mean,yoe_y,2018_2019_max,2019_2020_max,2020_2021_max,2021_2022_max,2022_2023_max,2023_2024_max,2024_2025_max,yoe_x,2018_2019_min,2019_2020_min,2020_2021_min,2021_2022_min,2022_2023_min,2023_2024_min,2024_2025_min,yoe_y,1819_1920_change,1920_2021_change,2021_2122_change,2122_2223_change,2223_2324_change,2324_2425_change
234,Sr. Software Engineer,123.04,125.67,128.36,131.11,133.91,136.78,,Bachelor's,"Participates in all phases of software operating systems and software application programs engineering, including design, analysis, and modeling at a highly technical level; Performs software operating systems and application engineering, including full life cycle application systems design and development; assesses system architecture and hardware limitations; defines and selects new concepts and approaches for the design, development, and implementation of software engineering applications; defines complex design specifications and parameters; resolves complex hardware/software compatibility and interface design considerations; performs requirements acquisition and definition and data analysis; directs research on emerging technologies to determine impacts on application execution; performs systems modeling; may perform database analysis, design, implementation, and testing; writes, modifies, and maintains technical documentation and specifications such as user manuals, system documentation, and training materials; performs integration testing and support of various computer operating and/or network systems; troubleshoots and provides customer support for software operating systems and application issues; analyzes and documents client needs and requirements; serves as liaison with clients, participates in meetings to ensure client needs are met and may make client presentations; may serve as task or team lead, exercising leadership in either a technical role training other software engineers and implementing and enforcing established standards and technologies, or in a project coordination role leading tasks and assuming responsibility for the design, development, test and delivery of a software system or application.",5,General Dynamics Information Technology,,148.865,152.36,155.945,159.61,133.91,136.78,,6.0,174.69,179.05,183.53,188.11,133.91,136.78,,7,123.04,125.67,128.36,131.11,133.91,136.78,,5,0.021375162548764592,0.02140526776478087,0.021424119663446553,0.021356113187399762,0.02143230527966548,
235,Principal Software Engineer,172.48,176.17,179.94,183.79,187.73,191.74,,Master's,"Participates in all phases of software operating systems and software application programs engineering, including design, analysis, and modeling at an expert level; establishes state-of-the-art techniques for designing, developing, modifying and troubleshooting highly complex software operating systems and applications architectures; defines complex design specifications and parameters; identifies and directs resolution of complex hardware/software interface issues; can serve as a subject matter expert on emerging technologies; directs the development of systems specifications and technical documentation; may serve as project lead, either working independently in a technical role in field of specialization, or providing work leadership with management or supervisory responsibility for the group.",8,General Dynamics Information Technology,,186.165,190.26,194.445,183.79,187.73,191.74,,8.0,199.85,204.35,208.95,183.79,187.73,191.74,,8,172.48,176.17,179.94,183.79,187.73,191.74,,8,0.021393784786641917,0.021399784299256458,0.021396020895854143,0.02143751020186081,0.021360464496883926,
236,Software Architect,161.09,164.54,168.06,171.66,175.33,179.08,,Master's,"Establishes state-of-the-art techniques for designing, developing, modifying and troubleshooting highly complex software operating systems and applications architectures; defines complex design specifications and parameters; identifies and directs resolution of complex hardware/software interface issues; is recognized as a subject matter expert in all areas of software engineering, including emerging technologies; directs the development of systems specifications and technical documentation; may serve as project lead, either working independently in a technical role in field of specialization, or providing work leadership with management or supervisory responsibility for the group; responsible for task cost, schedule and level of effort estimates; reports project progress directly to senior management; performs business development services; may provide expertise to multiple projects and tasks; may supervise and direct the work of assigned staff.",10,General Dynamics Information Technology,,161.09,164.54,168.06,171.66,175.33,179.08,,10.0,161.09,164.54,168.06,171.66,175.33,179.08,,10,161.09,164.54,168.06,171.66,175.33,179.08,,10,0.021416599416475193,0.021392974352741036,0.02142092109960725,0.02137947104741941,0.021388239320139165,
237,Computer Security Specialist,98.07,100.17,102.32,104.51,106.74,109.03,,Bachelor's," Gathers and organizes technical information about an organization’s mission goals and needs, IT infrastructure and existing security/IA products. Assists in developing security/IA policies, procedures and standards. Responsibilities will include working with the customer to minimize risks and assess and secure networks.",7,General Dynamics Information Technology,,98.07,100.17,102.32,104.51,106.74,109.03,,7.0,98.07,100.17,102.32,104.51,106.74,109.03,,7,98.07,100.17,102.32,104.51,106.74,109.03,,7,0.021413276231263472,0.02146351202954968,0.021403440187646717,0.021337671036264372,0.021454000374742425,
238,Sr. Computer Security Systems Specialist,138.02,140.97,143.99,147.07,150.22,153.43,,Bachelor's,"Gathers and organizes technical information about an organization’s mission goals and needs, IT infrastructure, and existing security/IA products. Assists in developing security/IA policies, procedures, and standards. Responsibilities will include working with the customer to minimize risks and assess and secure networks. Evaluates and recommends security products for various platforms and initiatives. May act as a project leader and provide technical leadership and guidance.",10,General Dynamics Information Technology,,138.02,140.97,143.99,147.07,150.22,153.43,,10.0,138.02,140.97,143.99,147.07,150.22,153.43,,10,138.02,140.97,143.99,147.07,150.22,153.43,,10,0.021373713954499263,0.021422997800950628,0.02139037433155069,0.02141837220371256,0.021368659299693834,
239,Jr. Database Architect,78.59,80.27,81.99,83.74,85.53,87.36,,Bachelor's,"Participates in the design, maintenance, enhancement, and coding of relational databases; analyzes and determines information needs and elements, data relationships and attributes, data flow and storage requirements, and data output and reporting capabilities; assists on developing data modeling and participates in data acquisition and access analysis and design, and archive, recovery, and load strategy design and implementation; coordinates new data development ensuring consistency and integration with existing data warehouse structure; reviews requests for data and data usage, researches data sources for new and better data feeds; participates in continuous improvement efforts in enhancing performance and providing increased functionality; assists with the development of screens and queries; tests designed applications; assists with upgrades and maintenance of hardware and software; maintains current knowledge of relevant hardware and software applications as assigned; participates in special projects as required.",2,General Dynamics Information Technology,,78.59,80.27,81.99,83.74,85.53,87.36,,2.0,78.59,80.27,81.99,83.74,85.53,87.36,,2,78.59,80.27,81.99,83.74,85.53,87.36,,2,0.021376765491792755,0.021427681574685425,0.021344066349554824,0.021375686649152213,0.021396001403016465,
240,Database Architect,87.36,89.22,91.13,93.08,95.08,97.11,,Bachelor's,"Designs, maintains, enhances, and codes relational databases; analyzes and determines information needs and elements, data relationships and attributes, data flow and storage requirements, and data output and reporting capabilities; develops data modeling and participates in data acquisition and access analysis and design, and archive, recovery, and load strategy design and implementation; coordinates new data development ensuring consistency and integration with existing data warehouse structure; reviews requests for data and data usage, researches data sources for new and better data feeds; participates in continuous improvement efforts in enhancing performance and providing increased functionality; designs data structures to accommodate database production, storage, maintenance, and accessibility; develops screens and queries; tests designed applications; performs upgrades and maintenance of hardware and software; provides technical support and guidance to users; maintains current knowledge of relevant hardware and software applications as assigned; may serve as team or technical task lead; participates in special projects as required.",3,General Dynamics Information Technology,,87.36,89.22,91.13,93.08,95.08,97.11,,3.0,87.36,89.22,91.13,93.08,95.08,97.11,,3,87.36,89.22,91.13,93.08,95.08,97.11,,3,0.021291208791208785,0.021407756108495817,0.021398002853067078,0.021486892995272885,0.021350441733277253,
241,Sr. Database Architect,110.47,112.83,115.25,117.72,120.23,122.81,,Bachelor's,"Designs, maintains, enhances, and codes relational databases; analyzes and determines information needs and elements, data relationships and attributes, data flow and storage requirements, and data output and reporting capabilities; develops data modeling and is responsible for data acquisition and access analysis and design, and archive, recovery, and load strategy design and implementation; coordinates new data development ensuring consistency and integration with existing data warehouse structure; reviews business requests for data and data usage, researches data sources for new and better data feeds; participates in continuous improvement efforts in enhancing performance and providing increased functionality; designs data structures to accommodate database production, storage, maintenance, and accessibility; develops screens and queries; tests designed applications; may perform upgrades and maintenance of hardware and software; provides technical support and guidance to users; maintains current knowledge of relevant hardware and software applications as assigned; may serve as team or technical task lead and provide guidance and training to lower-level staff; participates in special projects as required.",5,General Dynamics Information Technology,,110.47,112.83,115.25,117.72,120.23,122.81,,5.0,110.47,112.83,115.25,117.72,120.23,122.81,,5,110.47,112.83,115.25,117.72,120.23,122.81,,5,0.02136326604508011,0.021448196401666238,0.021431670281995652,0.021321780496092468,0.021458870498211748,
242,Computer Programmer/Analyst,78.71,80.39,82.11,83.87,85.66,87.5,,Bachelor's,"Generates new code and corrects, converts, and/or modifies existing code to meet documented standards; designs new and/or redesigns and maintains existing software products; identifies client needs and requirements based on evaluation of client documentation and interviews; performs data and technical analysis; performs a variety of testing procedures on assigned products, analyzes test results, and corrects problems; prepares test scripts and descriptions and examines to locate necessary modifications; analyzes and modifies program specifications and documentation to support contract requirements; may design and develop computer-based and/or multimedia courseware for customer training initiatives utilizing appropriate authoring languages, systems, animation and graphics software; provides customer support to clients and troubleshoots problems.",3,General Dynamics Information Technology,,78.71,80.39,82.11,83.87,85.66,87.5,,3.0,78.71,80.39,82.11,83.87,85.66,87.5,,3,78.71,80.39,82.11,83.87,85.66,87.5,,3,0.021344174818955747,0.02139569598208731,0.021434660820850143,0.02134255395254551,0.021480270838197566,
243,Staff Computer Programmer/Analyst,110.69,113.06,115.48,117.95,120.47,123.05,,Bachelor's,"Programs, designs, analyzes, codes, implements, and tests software applications and modules in various languages, including business software systems and applications; provides network support including providing technical solutions and training; writes, modifies, and maintains software documentation and specifications; performs integration testing and support of various computer operating and/or network systems; installs, configures, and troubleshoots various hardware and software platforms; analyzes and documents client needs and requirements; may train other programmer/analysts; develops product documentation to describe system requirements and use; may design and develop computer-based and/or multimedia courseware for customer training initiatives utilizing appropriate authoring languages, systems, animation and graphics software; participates in meeting; prepares reports on analyses, findings, and project progress; performs technical research on emerging technologies to determine impacts on application execution.",4,General Dynamics Information Technology,,110.69,113.06,115.48,117.95,120.47,123.05,,4.0,110.69,113.06,115.48,117.95,120.47,123.05,,4,110.69,113.06,115.48,117.95,120.47,123.05,,4,0.021411148251874648,0.021404563948346025,0.021388985105645988,0.021364985163204713,0.02141612019589938,
244,Sr. Computer Programmer/Analyst,114.3,116.75,119.25,121.8,124.41,127.07,,Bachelor's,"Participates in all phases of software development, including system design, analysis, architecture, and engineering; programs, designs, analyzes, codes, implements, and tests software applications, modules, and databases in various languages, including those associated with scientific, technical, or engineering problems; performs process analyses in order to recommend improvements; performs system, network, and/or database administration, analysis, design, implementation, and testing; analyzes and documents client needs and requirements; provides technical support including providing technical solutions and training; writes, modifies, and maintains software documentation and specifications; Performs a variety of testing for computer operating and/or network systems; performs data and technical analysis and information engineering; installs, configures, and troubleshoots various hardware and software platforms; may design and develop computerbased and/or multimedia courseware for customer training initiatives utilizing appropriate authoring languages, systems, animation and graphics software; participates in meetings and design reviews; prepares reports on analyses, findings, and project progress; performs technical research on emerging technologies to determine impacts on application execution; may serve as a technical task or team lead.",5,General Dynamics Information Technology,,114.3,116.75,119.25,121.8,124.41,127.07,,5.0,114.3,116.75,119.25,121.8,124.41,127.07,,5,114.3,116.75,119.25,121.8,124.41,127.07,,5,0.021434820647419098,0.021413276231263382,0.021383647798742113,0.021428571428571425,0.021380917932642043,
245,Principal Computer Programmer/Analyst,134.29,137.17,140.1,143.1,146.16,149.29,,Bachelor's,"Participates in all phases of software development, including system design, analysis, architecture, and engineering; plans and directs the development of major programming projects and the installation of systems; programs, designs, analyzes, codes, implements, and tests software applications, modules, and databases in various languages, including those associated with scientific, technical, or engineering problems; performs process analyses in order to recommend improvements; performs system, network, and/or database administration, analysis, design, implementation, and testing; analyzes and documents client needs and requirements; provides technical support including providing technical solutions and training; writes, modifies, and maintains software documentation and specifications; performs a variety of testing for computer operating and/or network systems; performs data and technical analysis and information engineering; installs, configures, and troubleshoots various hardware and software platforms; may design and develop computer-based and/or multimedia courseware for customer training initiatives utilizing appropriate authoring languages, systems, animation and graphics software; participates in meetings and design reviews; prepares reports on analyses, findings, and project progress; may supervise and direct the work of lower-level analysts; performs technical research on emerging technologies to determine impacts on application execution; may serve as a technical task or team lead.",8,General Dynamics Information Technology,,134.29,137.17,140.1,143.1,146.16,149.29,,8.0,134.29,137.17,140.1,143.1,146.16,149.29,,8,134.29,137.17,140.1,143.1,146.16,149.29,,8,0.021446124059870397,0.021360355762921973,0.021413276231263385,0.021383647798742154,0.021414887794198107,
246,Computer Systems Programmer,106.1,108.37,110.69,113.06,115.47,117.95,,Bachelor's,"Create and/or maintain operating systems, communications software, database packages, compilers, assemblers, and utility programs. Modify existing software, as well as create special-purpose software to ensure efficiency and integrity between systems and applications. Assist in the development, testing and maintenance of disaster recovery procedures.",5,General Dynamics Information Technology,,106.1,108.37,110.69,113.06,115.47,117.95,,5.0,106.1,108.37,110.69,113.06,115.47,117.95,,5,106.1,108.37,110.69,113.06,115.47,117.95,,5,0.02139491046182856,0.02140813878379619,0.021411148251874648,0.02131611533698918,0.02147744002771286,
247,Web Designer,77.77,79.44,81.14,82.87,84.64,86.46,,Bachelor's,"Designs and builds Web pages using a variety of graphics software applications, techniques, and tools; designs and develops user-interface features, site animation, and special-effects elements; designs the Website to support the customer’s strategies and goals relative to external communications; contributes to the Web design group’s efforts to specify, improve, and implement the look, feel, and function of online projects; interfaces directly with customers, users, graphic artists, and Web software developers.",2,General Dynamics Information Technology,,109.53999999999999,112.425,115.38499999999999,118.42,84.64,86.46,,2.0,141.31,145.41,149.63,153.97,84.64,86.46,,2,77.77,79.44,81.14,82.87,84.64,86.46,,2,0.021473575929021497,0.021399798590130952,0.02132117328074937,0.021358754675998504,0.021502835538752284,
248,Web Developer,90.55,92.48,94.46,96.48,98.55,100.66,,Bachelor's,"Provides application development and technical support for internal and external Webs; develops Web pages and applications for customers; collaborates with graphic artists to develop Web page graphics that support interactive, marketing-focused content; provides technical consultation in new systems development, new package evaluations and enhancements of existing systems; prepares functional specifications from which programs will be written, then designs, codes, tests, debugs and documents programs; participates in the technical design, development, testing, implementation and maintenance of Web site enhancements; plans, schedules and conducts systems tests, monitors test results, and takes appropriate corrective action; may prepare technical user guides.",4,General Dynamics Information Technology,,90.55,92.48,94.46,96.48,98.55,100.66,,4.0,90.55,92.48,94.46,96.48,98.55,100.66,,4,90.55,92.48,94.46,96.48,98.55,100.66,,4,0.021314191054666008,0.021410034602076012,0.021384713106076755,0.021455223880596945,0.021410451547437842,
249,Sr. Web Developer,123.3,125.94,128.63,131.39,134.2,137.07,,Bachelor's,"Designs and develops wellintegrated and cost-effective solutions for internal and external Webs; works closely with client project managers and technical leaders to understand customers’ business objectives and systems requirements; designs and develops Web infrastructures; designs and implements an intranet strategy for authorization of users to access controlled components; designs relational databases to perform well logically and physically for decision support; coordinates enhancements and maintenance of Web systems and sites; provides recommendations for server operating systems, hardware requirements and encryption standards for communications to and from secure servers; provides technical advice and expertise to Webmasters and Web developers in the installation, acceptance testing, and evaluation of newly released and beta software; may serve as a functional/technical team or task lead.",8,General Dynamics Information Technology,,123.3,125.94,128.63,131.39,134.2,137.07,,8.0,123.3,125.94,128.63,131.39,134.2,137.07,,8,123.3,125.94,128.63,131.39,134.2,137.07,,8,0.02141119221411193,0.021359377481340303,0.02145689186037465,0.02138671131745188,0.02138599105812224,
250,Web Tech Administrator,89.15,91.05,93.0,94.99,97.02,99.1,,Bachelor's,"Responsible for achieving overall technical integrity of organization’s Website. Maintains and upgrades hardware and software including website technical architecture related to hardware and telecommunication connectivity. Administers e-mail, chat, and FTP and HTTP services. Communicates router configuration changes and troubleshoots system errors and bugs. Maintains servers, creates monitoring reports and logs, and ensures functionality of links. Monitors site for acceptable performance and user accessibility. Establishes backups and monitors site security.",4,General Dynamics Information Technology,,89.15,91.05,93.0,94.99,97.02,99.1,,4.0,89.15,91.05,93.0,94.99,97.02,99.1,,4,89.15,91.05,93.0,94.99,97.02,99.1,,4,0.021312394840156942,0.021416803953871532,0.021397849462365535,0.02137067059690495,0.021438878581735706,
251,Web Content Manager,87.28,89.14,91.05,93.0,94.99,97.02,,Bachelor's,"Responsible for developing and providing content that will motivate and entertain users so that they regularly access the Website and utilize it as a major source for information and decision making. Responsible for managing/performing Website editorial activities including gathering and researching information that enhances the value of the site. Locates, negotiates, and pursues content. Seeks out customers to gather feedback for Website improvement and enhancements.",2,General Dynamics Information Technology,,87.28,89.14,91.05,93.0,94.99,97.02,,2.0,87.28,89.14,91.05,93.0,94.99,97.02,,2,87.28,89.14,91.05,93.0,94.99,97.02,,2,0.021310724106324466,0.021426968813102947,0.021416803953871532,0.021397849462365535,0.02137067059690495,
252,Web Security Administrator,87.44,89.31,91.22,93.17,95.17,97.2,,Bachelor's, Performs all procedures necessary to ensure the safety of the organization’s Website and transactions across the Internet. Applies Internet Firewall technologies to maintain security. Ensure that the user community understands and adheres to necessary procedures to maintain security. Works under limited supervision.,4,General Dynamics Information Technology,,87.44,89.31,91.22,93.17,95.17,97.2,,4.0,87.44,89.31,91.22,93.17,95.17,97.2,,4,87.44,89.31,91.22,93.17,95.17,97.2,,4,0.021386093321134544,0.02138618295823532,0.021376891032668308,0.021466137168616506,0.021330251129557644,
253,Computer Systems Analyst,87.85,89.73,91.65,93.61,95.62,97.66,,Bachelor's,Develops requirements for information systems form a project's inception to conclusion. Develops required specifications for simple to moderately complex systems. Assists senior computer systems analyst in preparing input and test data for the proposed system.,3,General Dynamics Information Technology,,74.425,75.36500000000001,76.325,77.305,78.31,79.33,,3.0,87.85,89.73,91.65,93.61,95.62,97.66,,3,61.0,61.0,61.0,61.0,61.0,61.0,,3,0.021400113830392826,0.021397525911066553,0.0213857064920894,0.021472064950325876,0.02133444886007103,
254,Staff Computer Systems Analyst,102.8,105.0,107.25,109.54,111.89,114.28,,Bachelor's,"Analyzes and develops computer software processing a wide range of capabilities, including numerous engineering, business, and records management duties. Develops plans for systems from project inception to conclusion. Analyzes the problem and the information to be processed. Defines the problem, and develops system requirements and program specifications from which programmers prepare detailed flow charts, programs, and tests. Coordinates closely with programmers to ensure proper implementation of program and system specifications. Develops, in conjunction with functional users, system alternative solutions.",5,General Dynamics Information Technology,,102.8,105.0,107.25,109.54,111.89,114.28,,5.0,102.8,105.0,107.25,109.54,111.89,114.28,,5,102.8,105.0,107.25,109.54,111.89,114.28,,5,0.02140077821011676,0.02142857142857143,0.021351981351981412,0.021453350374292444,0.021360264545535797,
255,Sr. Computer Systems Analyst,117.54,120.05,122.62,125.24,127.92,130.66,,Bachelor's,"Analyzes and evaluates user needs and identifies resources required for each task to determine functional requirements; conceptualizes, develops, and implements complex systems designed to meet client requirements; defines systems objectives and prepares system design specifications to meet requirements; designs, develops, implements, and tests new systems or modifies existing systems that meet the user’s needs; codes applications and tests to software requirements; writes or updates software specifications; analyzes procedures and systems to refine their formulation and convert to programmable formats; analyzes data requirements to determine data source and destinations; coordinates with client to define problem, determine data availability, report requirements, and resolve system design problems; creates logical data models based on functional requirements; performs quality review of specifications for internal and external delivery; troubleshoots and provides technical support and solutions to users; develops analytical tools for use in the design and redesign of programs as assigned; may serve as a technical team or task lead.",8,General Dynamics Information Technology,,117.54,120.05,122.62,125.24,127.92,130.66,,8.0,117.54,120.05,122.62,125.24,127.92,130.66,,8,117.54,120.05,122.62,125.24,127.92,130.66,,8,0.021354432533605503,0.02140774677217832,0.02136682433534489,0.02139891408495694,0.02141963727329577,
256,Principal Computer Systems Analyst,142.03,145.07,148.17,151.34,154.58,157.89,,Bachelor's,"Analyzes and evaluates user needs and identifies resources required for each task to determine functional requirements; conceptualizes, develops, and implements complex systems designed to meet client requirements; defines systems objectives and prepares system design specifications to meet requirements; designs, develops, implements, and tests new systems or modifies existing systems that meet the user’s needs; develops and executes test plans; codes applications and tests to software requirements; writes or updates software specifications as necessary; writes technical project documentation including detailed design documents and program specifications; analyzes procedures and systems to refine their formulation and convert to programmable formats; analyzes data requirements to determine data source and destinations; coordinates with client to define problem, determine data availability, report requirements, and resolve system design problems; creates logical data models based on functional requirements; performs quality review of specifications for internal and external delivery; troubleshoots and provides technical support and solutions to users; develops analytical tools for use in the design and redesign of programs as assigned; may serve as a technical task or team lead.",10,General Dynamics Information Technology,,142.03,145.07,148.17,151.34,154.58,157.89,,10.0,142.03,145.07,148.17,151.34,154.58,157.89,,10,142.03,145.07,148.17,151.34,154.58,157.89,,10,0.021403928747447665,0.021368994278624074,0.021394344334210814,0.021408748513281412,0.02141286065467702,
257,Legacy System Analyst,116.5,118.99,121.54,124.14,126.8,129.51,,HS,"Analyze requirements for maintaining, modifying or converting unique application systems that are deemed “legacy” systems. Provide guidance and technical/functional advice to programmers. Provide unique knowledge of the history of changes to the “legacy” applications. Develop plans to migrate “legacy” systems to new technologies and/or new functionality. Analyze and document “legacy” system functionality to identify mandatory requirements to be fulfilled by migration system candidates. May also participate in the analysis and evaluation of migration system candidates. May also participate in designing, developing and implementing changes to “legacy” systems to accommodate such requirements as interim interfaces to migration systems and/or conversion to migration systems.",0,General Dynamics Information Technology,,116.5,118.99,121.54,124.14,126.8,129.51,,0.0,116.5,118.99,121.54,124.14,126.8,129.51,,0,116.5,118.99,121.54,124.14,126.8,129.51,,0,0.02137339055793987,0.02143037230019339,0.021392134276781258,0.021427420654100183,0.021372239747634022,
258,Jr. Functional Analyst/Specialist,65.31,66.71,68.14,69.59,71.08,72.6,,Bachelor's,Analyzes user needs and performs research and functional analysis on a variety of projects; works under direct supervision; does related work as required.,1,General Dynamics Information Technology,,65.31,66.71,68.14,69.59,71.08,72.6,,1.0,65.31,66.71,68.14,69.59,71.08,72.6,,1,65.31,66.71,68.14,69.59,71.08,72.6,,1,0.021436227224008442,0.021436066556738225,0.02127971822717938,0.021411122287684936,0.02138435565559927,
259,Functional Analyst/Specialist,77.25,78.9,80.59,82.32,84.08,85.88,,Bachelor's,Analyzes user needs to determine functional requirements. Performs functional allocation to identify required tasks and their interrelationships. Identifies resources required for each task.,5,General Dynamics Information Technology,,77.25,78.9,80.59,82.32,84.08,85.88,,5.0,77.25,78.9,80.59,82.32,84.08,85.88,,5,77.25,78.9,80.59,82.32,84.08,85.88,,5,0.021359223300970946,0.021419518377693254,0.021466683211316413,0.021379980563654095,0.021408182683158864,
260,Sr. Functional Analyst/Specialist,99.37,101.49,103.67,105.88,108.15,110.46,,Bachelor's,Analyze user needs to determine functional requirements. Performs functional allocation to identify required tasks and their interrelationships. Identifies resources required for each task. Provides daily supervision and direction to support staff.,7,General Dynamics Information Technology,,99.37,101.49,103.67,105.88,108.15,110.46,,7.0,99.37,101.49,103.67,105.88,108.15,110.46,,7,99.37,101.49,103.67,105.88,108.15,110.46,,7,0.02133440676260431,0.021479948763425037,0.021317642519533074,0.021439365319229412,0.021359223300970762,
261,Principal Functional Analyst/Specialist,104.26,106.49,108.77,111.1,113.48,115.91,,Master's,"Analyzes user needs and performs research and functional analysis on a variety of projects at a highly technical level; may have supervisory responsibility; serves as technical advisor to clients in assigned subject areas’ recommends functional changes, and identifies areas for further investigation; generates recommendations in the form of technical briefings, reports, and other major documents provided to senior level client personnel; may serve as a technical team or task lead.",8,General Dynamics Information Technology,,104.26,106.49,108.77,111.1,113.48,115.91,,8.0,104.26,106.49,108.77,111.1,113.48,115.91,,8,104.26,106.49,108.77,111.1,113.48,115.91,,8,0.021388835603299343,0.0214104610761574,0.02142134779810608,0.02142214221422151,0.021413464927740506,
262,Sr. Principal Functional Analyst/Specialist,145.05,148.16,151.33,154.56,157.87,161.25,,Master's,"Analyzes user needs and performs research and functional analysis on a variety of projects at a highly technical level; may have supervisory responsibility; serves as technical advisor to clients in assigned subject areas; recommends functional changes, and identifies areas for further investigation; generates recommendations in the form of technical briefings, reports, and other major documents provided to senior level client personnel; serves as primary client liaison and coordinates with sub-contractors, government personnel, and technical experts; serves as technical team or task lead.",10,General Dynamics Information Technology,,145.05,148.16,151.33,154.56,157.87,161.25,,10.0,145.05,148.16,151.33,154.56,157.87,161.25,,10,145.05,148.16,151.33,154.56,157.87,161.25,,10,0.02144088245432599,0.021395788336933154,0.021344082468776775,0.02141563146997931,0.021410020903274818,
263,Data Management Specialist,115.85,118.33,120.86,123.45,126.09,128.79,,Bachelor's,"Provides highly technical expertise in the use of DBMS. Evaluates and recommends available DBMS products to support validated user requirements. Defines file organization, indexing methods, and security procedures for specific user applications.",6,General Dynamics Information Technology,,95.425,96.66499999999999,97.93,99.225,100.545,101.895,,5.5,115.85,118.33,120.86,123.45,126.09,128.79,,6,75.0,75.0,75.0,75.0,75.0,75.0,,5,0.02140699179974108,0.021380883968562504,0.021429753433725,0.02138517618469016,0.02141327623126329,
264,Data Administrator,111.3,113.68,116.11,118.59,121.13,123.72,,Bachelor's,"Provides highly technical expertise and guidance in the design, implementation, operation and maintenance of database management systems (DBMS). Evaluates and recommends available DBMS products after matching requirements with system capabilities. Determines file organization, indexing methods, and security procedures for specific applications. Controls the design and use of databases. Controls the global view of databases, controls the access to the databases, assures the safekeeping of the databases (from accidental or intentional damage or loss), and monitors the use of databases. Must be capable of defining all required database administration policies, procedures, standards, and guidelines. Is an authority on the design of databases and the use of database management systems. Evaluates and recommends available DBMS products after matching requirements with system capabilities. Prepares and delivers presentations on DBMS concepts.",6,General Dynamics Information Technology,,111.3,113.68,116.11,118.59,121.13,123.72,,6.0,111.3,113.68,116.11,118.59,121.13,123.72,,6,111.3,113.68,116.11,118.59,121.13,123.72,,6,0.021383647798742227,0.021375791695988675,0.02135905606752221,0.021418332068471137,0.021381986295715374,
265,Data Manager,142.96,146.02,149.15,152.34,155.6,158.93,,Bachelor's,"Manages the development of database projects. Plans and budgets staff and database resources. When necessary, reallocates resources to maximize benefits. Prepares and delivers presentations on Database Management Systems (DBMS) concepts. Provides daily supervision and direction to support staff.",7,General Dynamics Information Technology,,142.96,146.02,149.15,152.34,155.6,158.93,,7.0,142.96,146.02,149.15,152.34,155.6,158.93,,7,142.96,146.02,149.15,152.34,155.6,158.93,,7,0.021404588696138795,0.021435419805506062,0.021387864565873264,0.021399501115924844,0.021401028277635042,
266,Computer Operations Manager,86.31,88.16,90.04,91.97,93.94,95.95,,Associate's,"Manages the work of computer operations personnel; identifies processing requirements and schedules job streams for computer runs; responsible for security and routing of input and output data, problem resolution and restart/recovery, interpreting technical documentation standards and preparation of documentation according to standards; interfaces with client and/or other government personnel; determines appropriate course of action in case of malfunction and confers with and directs staff as warranted.",6,General Dynamics Information Technology,,86.31,88.16,90.04,91.97,93.94,95.95,,6.0,86.31,88.16,90.04,91.97,93.94,95.95,,6,86.31,88.16,90.04,91.97,93.94,95.95,,6,0.021434364500057864,0.02132486388384766,0.02143491781430467,0.02142002827008806,0.021396636150734567,
267,Sr. Computer Operations Manager,126.69,129.4,132.17,135.0,137.89,140.84,,Bachelor's,"Manages and directs the operations and support of the computer systems and peripheral equipment in large scale or multi-shift operations; supervises and directs the work of computer operations personnel; identifies processing requirements and schedules job streams for computer runs; responsible for the security and routing of input and output data, problem isolation and restart/recovery, interpreting technical documentation standards and preparation of documentation according to standards, and interfacing with client and/or government personnel; determines appropriate course of action in case of malfunction and confers with and directs staff as warranted.",8,General Dynamics Information Technology,,126.69,129.4,132.17,135.0,137.89,140.84,,8.0,126.69,129.4,132.17,135.0,137.89,140.84,,8,126.69,129.4,132.17,135.0,137.89,140.84,,8,0.02139079643223623,0.021406491499227062,0.021411818113036336,0.021407407407407306,0.021393864674740862,
268,Communications Engineer,115.67,118.15,120.68,123.26,125.9,128.59,,Bachelor's,"Provides technical support for telecommunications activities including planning, designing, installing, and maintaining large telecommunications networks. Develops, operates, and maintains voice, video, and/or data communications systems. Applies telecommunications engineering principles and theory to propose design and configuration alternatives. Evaluates existing communications systems to identify deficiencies and performance improvements. Consults with user personnel to ensure that problems have been properly identified and that the solution will meet the requirements. Analyzes system performance, usage and traffic flows, accesses and interfaces, transmission techniques, and protocols. Performs system analyses and feasibility studies concerning communications and communication networks. Prepares studies and gives presentations on communications concepts. Provides technical guidance to other personnel concerning data communications requirements. Participates in preparing specifications for acquiring commercially available data communications networks.",6,General Dynamics Information Technology,,115.67,118.15,120.68,123.26,125.9,128.59,,6.0,115.67,118.15,120.68,123.26,125.9,128.59,,6,115.67,118.15,120.68,123.26,125.9,128.59,,6,0.02144030431399675,0.02141345746931867,0.021378853165396075,0.02141814051598248,0.021366163621922143,
