,Role,11/21/18 - 11/20/19,11/21/19 - 11/20/20,11/21/20 - 11/20/21,11/21/21 - 11/20/22,11/21/22 - 11/20/23,11/21/23 - 11/20/24,Education,Functional Responsibility,Years of Experience,Company
107,Geospatial Sr. Analyst,133.1,135.95,138.86,141.83,144.87,147.97, Bachelor's,"Provides analysis and research for national security, infrastructure, technology, country, geographic area, biographic and targeted vulnerability. Prepares assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information. Develops and maintains analytical procedures to meet changing requirements and ensure maximum operational success. Collects data using a combination of standard intelligence methods and business processes. Performs and manages data collection, analysis, interpretation, and management duties. Prepares presentations that reflect the results of the data analysis. Provides datarelated training to staff. Coordinates with scientists and other technical experts to design and develop statistical analyses methodologies. May provide guidance and work leadership to less-experienced staff. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",5,General Dynamics Information Technology
108,Geospatial Principal Analyst,149.13,152.32,155.58,158.91,162.31,165.79, Bachelor's,"Provides analysis and manages research methods for national security, infrastructure, technology, country, geographic area, biographic and targeted vulnerability within the GEOINT environment. Prepares and reviews assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information. Develops and maintain rules and methodologies for analytical procedures to meet changing requirements and ensure maximum operational success. Oversees the collection of data using a combination of standard intelligence methods and business processes. Performs data collection, analysis, interpretation and management duties; delivers presentations that reflect the results of the data analysis and provides data related training to staff. Coordinates with scientists and other technical experts to design and develop statistical analyses methodologies. Provides guidance and work leadership to less-experienced staff. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",8,General Dynamics Information Technology
109,Geospatial Sr. Principal Analyst,191.18,195.27,199.45,203.72,208.08,212.53, Master's,"Provides analysis and research for national security, infrastructure, technology, country, geographic area, biographic and targeted vulnerability. Delivers assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information. Develops and supervises analytical procedures to meet changing requirements and ensure maximum operational success. Supervises collection of data using a combination of standard intelligence methods and business processes. Performs data collection, analysis, interpretation and management duties. Delivers presentations and maintains digital Geospatial Services that reflect the results of the data analysis. Understands the DOD and Intelligence Community (IC) reporting and classification standards. Develops and maintains remotely sensed imagery analytical procedures to meet changing requirements and ensure maximum operational success. Develops and provides data-related training to staff. Coordinates with scientists and other technical experts to design and develop statistical analyses methodologies. Provides guidance and work leadership to lessexperienced staff. Maintains current knowledge of relevant technologies and subject areas of staff. Participates in special projects as required.",20,General Dynamics Information Technology
110,Jr. Computer Programmer/Analyst,64.26,65.64,67.04,68.48,69.94,71.44, Bachelor's,"Tests assigned software units to ensure accurate design; evaluates, reports, and corrects any discrepancies found during the testing process; configures computers and other peripherals; makes software changes when needed; codes programs to improve program effectiveness and efficiency; works with customers/clients to identify and solve programming problems; creates, modifies, and maintains new software applications as assigned; troubleshoots various software products to determine source of errors; prepares and updates operating procedures, specifications, and other documentation of various software products; may assist in the design and development of computer-based and/or multimedia courseware for customer training initiatives; installs software products on computer hardware.",0,General Dynamics Information Technology
111,Jr. Computer Systems Analyst,67.36,68.8,70.27,71.77,73.31,74.88, Associate's,"Analyzes user needs and identifies resources required for each task to determine functional requirements; codes applications and tests to software requirements; assists in design and development of new systems or modifies existing systems that meet the user’s needs; assists higher-level analysts in analyzing alternative systems, cost aspects and feasibility factors; writes or updates software specifications; records all inputs and outputs of systems, including file sizes, data bank requirements, variability of information and appropriate statistical measures such as frequency, volume, peaking, etc; prepares appropriate documentation for new or existing systems; troubleshoots and provides technical support and solutions to users.",0,General Dynamics Information Technology
112,System Administrator/Operator,63.92,65.29,66.69,68.11,69.57,71.06, Associate's,"Designs, installs, modifies and maintains local area networks (LANs). Responsible for troubleshooting and making necessary adjustments in network operating system, software and hardware. Works with other staff to design, develop, install, test, debug, modify and maintain distributed processing databases on the LAN.",4,General Dynamics Information Technology
113,Jr. Computer Operator,46.13,47.11,48.12,49.15,50.2,51.28, HS,"Performs duties to operate computer and peripheral equipment such as printers, tape and disk drives; sets up, monitors, and controls computer and peripheral equipment; maintains records regarding output units and supply inventories; sets up printers for routine print jobs; assists in performing back-ups; routes error messages to appropriate personnel.",0,General Dynamics Information Technology
114,Computer Operator,51.64,52.75,53.88,55.03,56.21,57.41, HS,Must have at least three years’ experience of which at least one year must be specialized to include supervisory computer operator experience.,3,General Dynamics Information Technology
115,Network/Computer Support Technician,63.92,65.29,66.69,68.11,69.57,71.06,HS,"Responsible for information systems and network operations, network management and any ancillary IT support functions.",2,General Dynamics Information Technology
116,Sr. Network/Computer Support Technician,70.83,72.35,73.89,75.47,77.09,78.74, HS,"Responsible for information systems and network operations, network management and any ancillary IT support functions--assists with the installation and configuration of computer hardware; provides end-user software troubleshooting and support; provides network troubleshooting and support; diagnoses hardware, software and operator problems and corrects them as instructed; participates in the development of IT infrastructure processes; may provide end-user training.",3,General Dynamics Information Technology
117,Telecommunications Analyst,76.92,78.56,80.25,81.96,83.72,85.51, Associate's,"Evaluates, designs, and maintains existing and proposed data telecommunications systems; analyzes the telecommunications needs of the user and recommends solutions; designs, develops, and tests telecommunications software solutions; prepares detailed specifications and flow charts for implementation of new internal programs or modification to vendor software; coordinates installation of equipment; monitors the operations of telecommunications systems and services of vendors; provides end user training of telecommunications features and functionality.",1,General Dynamics Information Technology
118,Jr. Help Desk Technician,57.54,58.77,60.03,61.31,62.62,63.96, HS,"Requires no experience and basic knowledge of the principles, methods, and techniques used in network troubleshooting and support as well as modems, data scopes, patch panels, concentrators, associated terminals, and network management software. Knowledge of or certification in one or more specific applications or processes may be required, depending on job assignment.",0,General Dynamics Information Technology
119,Help Desk Technician,63.92,65.29,66.69,68.11,69.57,71.06, HS,"Participates in the installation, configuration, and upgrade of computer hardware and software; provides end-user software troubleshooting and support; applies diagnostic techniques to identify problems, investigate causes, and recommend solutions; provides network troubleshooting and support; assists in the administration of e-mail systems; provides phone and help-desk support for local and off-site users.",1,General Dynamics Information Technology
120,Sr. Help Desk Technician,70.83,72.35,73.89,75.47,77.09,78.74, HS,"Performs installation, configuration, and upgrade of computer hardware and software; provides end-user software troubleshooting and support; applies advanced diagnostic techniques to identify problems, investigate causes, and recommend solutions; provides network troubleshooting and support; may participate in the administration and design of websites; participates in the administration of e-mail systems; provides phone and help-desk support for local and off-site users; assists lower level technicians with complex problems.",3,General Dynamics Information Technology
121,Electronics/Electrical Technician,64.53,65.91,67.32,68.76,70.23,71.74, HS,"Responsible for conducting design, installation, check-out, testing, troubleshooting and repair of electronic equipment. Responsible for the installation, alteration and repair of electrical systems and components. Installations must be accomplished to comply with applicable codes and technical specifications.",3,General Dynamics Information Technology
122,Logistics Specialist,69.6,71.09,72.61,74.17,75.75,77.37, HS,"Identifies Configuration Items (CI) and establishes and maintains a CI baseline inventory database. Conducts periodic audits of DI’s to monitor the status of the inventory. Originates and maintains Configuration Management (CM) databases, files and drawings. Maintains spare parts, equipment and consumable inventory databases. Issues supplies and equipment. Maintains statistical analysis of usage.",3,General Dynamics Information Technology
123,Jr. Graphics Design Specialist,49.94,51.0,52.1,53.21,54.35,55.51, HS,Shall support the development of all contract deliverables and reports by developing and updating graphics presentations to improve the quality and enhance the usability of these documents. Shall be responsible for integrating the graphics generated with automated tools and the deliverable documents.,0,General Dynamics Information Technology
124,Graphics Design Specialist,61.88,63.2,64.55,65.93,67.34,68.79, Associate's,"Participates in the design, layout, and production of brochures, pamphlets, briefings, displays, and other materials; makes recommendations on methods and materials; assist in the creation of overhead presentations, including graphics, charts, photos, and clip-art; creates displays to represent certain accomplishments to be highlighted; creates other graphic materials at client request, including scanned documents, photography, or signs; determines style, size and arrangement of type and illustrations; may participate in the design and creation of videos using computer and video equipment and cameras; may work from rough sketches, engineering drawings or other documentation; may exercise creative judgment by translating needs into graphics capabilities; uses various computer graphics software programs.",3,General Dynamics Information Technology
125,Videographer/Editor,57.71,58.94,60.2,61.49,62.81,64.15, Associate's,"Sets up and operates video cameras and related audio, lighting and recording equipment used in instructional systems and incorporating interactive video disk technology; performs off-line video editing; advises producer/director regarding shot composition and assists in post production shot selection; accomplishes off-line video narrative, editing, special effects and animation along with quality control of off-line video tape; may develop computer graphics; functions as an on-site team participant under the direction of the producer/director.",0,General Dynamics Information Technology
126,Jr. Program Management Specialist,76.58,78.21,79.89,81.6,83.34,85.13, Bachelor's,"Responsible for management, performance and completion of routine projects associated with a contract program; collects and evaluates data for monitoring development and life-cycle requirements of various programs and systems; creates program cost estimates to support program cost/schedule/technique audits or to generate budget submissions; uses computer programs and models to track program data; maintains contact with customer to ensure conformance to customer requirements.",0,General Dynamics Information Technology
127,Jr. Program Support Specialist,39.6,40.44,41.31,42.19,43.1,44.02, Associate's,"Provides program analytical support for the day-to-day operations as well as long range appraisal and decision processes; acquires, maintains, retrieves and analyzes technical and financial program data using various database programs; interprets, integrates and disseminates large volumes of technical data; assists in generating, processing and monitoring program requirements for activities and documents; coordinates and schedules meetings for management; assists with the preparation of monthly status reports of task accomplishments, financial data, and staffing reports.",0,General Dynamics Information Technology
128,Program Support Specialist,45.69,46.67,47.67,48.69,49.73,50.79, Bachelor's,"Provides program analytical support for the day-to-day operations as well as long range appraisal and decision processes; acquires, maintains, retrieves and analyzes technical and financial program data using various database programs; applies program knowledge and experience to identify and meet current and future program requirements; interprets, integrates and disseminates large volumes of technical data; generates, processes and monitors program requirements for activities and documents; coordinates and schedules meetings for customers and management; prepares regular status reports of task accomplishments, financial data, and staffing reports; coordinates the preparation of presentation materials and documents.",5,General Dynamics Information Technology
129,Sr. Program Support Specialist,76.58,78.21,79.89,81.6,83.34,85.13, Bachelor's,"Provides program analytical support for the day-to-day operations as well as long range appraisal and decision processes; acquires, maintains, retrieves and analyzes technical and financial program data using various database programs; applies program knowledge and experience to identify and meet current and future program requirements; interprets, integrates and disseminates large volumes of technical data; generates, processes and monitors program requirements for activities and documents; acts as liaison between management and the customer; coordinates and schedules meetings for customers and management; prepares regular status reports of task accomplishments, financial data, and staffing reports; prepares presentation materials and documents; may provide work leadership to lower level specialists.",7,General Dynamics Information Technology
130,Jr. Admin/Data Analyst,35.06,35.81,36.58,37.36,38.16,38.98, HS,"Responsible for input and verification of data; reviews source documents for accuracy of input data; reviews, follows up and resolves errors during processing cycle; maintains files; reviews and distributes reports.",0,General Dynamics Information Technology
131,Admin/Data Analyst,38.25,39.07,39.9,40.76,41.63,42.52, HS,"Responsible for input and verification of data; reviews source documents for accuracy of input data; reviews, follows up and resolves errors during processing cycle; may be responsible for integrity of certain database information; investigates questionable data and takes corrective action when necessary; maintains files; generates reports and may analyze specific database information.",2,General Dynamics Information Technology
132,Documentation Specialist,65.44,66.84,68.27,69.73,71.23,72.75, HS,"Composes and finalizes technical documentation including specifications, user manuals, etc. in the style, content and format required by the relevant standards using input received from technical personnel.",0,General Dynamics Information Technology
133,Technical Writer,79.17,80.86,82.59,84.36,86.16,88.01, Bachelor's,"Assist in collection and organizing information required for preparation of user manuals, training materials, installation guides, proposals, and reports. Edit functional descriptions, system specifications, user manuals, special reports, or any other customer deliverables and documents. Assists in performing financial and administrative functions.",3,General Dynamics Information Technology
134,Technical Typist,38.1,38.91,39.75,40.6,41.47,42.35, HS,"Prepares draft and final form technical documents. Must be capable of typing at average or above average speed. Must be capable of typing technical narratives and data. Responsible for spelling, grammar, and proper format, and for proofreading finished documents. Must be capable of using various word processing equipment.",0,General Dynamics Information Technology
135,Data Entry Clerk,35.06,35.81,36.58,37.36,38.16,38.98, HS,"Performs data entry via online data terminal, key-to-tape, key-to-disk, or similar devices. Verifies data entered, where applicable.",0,General Dynamics Information Technology
