,Role,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025,Education,Functional Responsibility,Years of Experience,Company,socio_economic
277,Network/Computer Support Specialist,82.05,83.8,85.6,87.43,89.3,91.21,,Bachelor's,"Installs, configures, and upgrades computer hardware; provides end-user software troubleshooting and support; provides network troubleshooting and support; diagnoses hardware, software and operator problems and corrects them; analyzes IT infrastructure processes and makes recommendations for improvement; involved in IT infrastructure planning; recommends Business Process improvements; leads deployment activities; may provide end-user training; involved in the development of larger Business Applications and Exchange, Web Applications, and Virus Software implementation; may supervise Network/Computer Support Technicians.",3,General Dynamics Information Technology,
278,Computer System/Network Integration Engineer,89.15,91.05,93.0,94.99,97.02,99.1,,HS,"Performs system and network analysis, design and administration. Designs computer and communications architectures, provides timely technical support, and designs hardware/software solutions for communications architectures.",0,General Dynamics Information Technology,
279,Sr. Telecommunications Analyst,83.05,84.83,86.64,88.5,90.39,92.33,,Associate's,"Evaluates, designs, and maintains existing or proposed telecommunications systems; analyzes the telecommunications needs of the user and recommends solutions; designs, develops, and tests telecommunications software solutions; prepares detailed specifications and flow charts for implementation of new internal programs or modification to vendor software; coordinates installation of equipment; monitors the operations of telecommunications systems and services of vendors; provides end user training of telecommunications features and functionality; may provide guidance and technical training to lower level analysts.",3,General Dynamics Information Technology,
280,Communications Network Manager,104.56,106.8,109.08,111.42,113.8,116.24,,Bachelor's,Schedules conversions and cutovers. Oversees network control center. Supervises maintenance of systems. Coordinates with all responsible users and sites. Supervises staff.,6,General Dynamics Information Technology,
281,Hardware Specialist,88.9,90.8,92.75,94.73,96.76,98.83,,Bachelor's,Determines feasible hardware alternatives in client server environments. Reviews computer systems in terms of capabilities and makes recommendations for improved utilization. Prepares or directs preparation of reports concerning hardware. Prepares or participates in preparing functional requirements and specifications for hardware acquisitions.,5,General Dynamics Information Technology,
282,Quality Assurance/IV&V Analyst,79.61,81.31,83.05,84.83,86.64,88.5,,Bachelor's,Assists in the review and evaluation of software products and systems to ensure adherence to customer quality standards; develops software/systems testing procedures and conducts tests; analyzes and documents IV&V issues; presents IV&V results; works under general supervision.,2,General Dynamics Information Technology,
283,Quality Assurance/IV&V Specialist,82.4,84.16,85.96,87.8,89.68,91.6,,Bachelor's,Assists in the evaluation of software and associated documentation. Participates in formal and informal reviews to determine quality; presents IV&V results and troubleshoots technical problems; makes recommendations to improve overall quality. ,4,General Dynamics Information Technology,
284,Quality Assurance/IV&V Manager,133.59,136.45,139.37,142.35,145.39,148.51,,Bachelor's,"Organizes and maintains all quality assurance and IV&V documentation required. Responsible for ensuring compliance with recognized standards and practices. Reviews all documentation for completeness, accuracy, and correctness. Supports the test and integration personnel as a witness to testing requirements; presents IV&V results and troubleshoots technical problems; makes recommendations to improve overall quality. Certifies that deliverables have met all quality requirements.",7,General Dynamics Information Technology,
285,Configuration Management Specialist,99.39,101.52,103.69,105.91,108.17,110.49,,Bachelor's,"Responsible for configuration management activities including product identification, change control, status accounting, operation of the program support library, and development and monitoring of equipment/system acceptance plans. Evaluates and selects configuration management tools and standards. Coordinates with users and systems development personnel on releases of both system-level software and applications software. Verifies the completeness and accuracy of release libraries before implementation and ensures that correct versions of programs are included in specified releases. Prepares configuration management plans and procedures. Responsible for configuration management of requirements, design, and code. Operates and manages program support library. Monitors library structure and procedures to assure system integrity, including procedures for collection, release, production, test, and emergency libraries and the movement/migration of components between libraries. Monitors end-item acceptance plans. Will supervise lower level personnel. Must have demonstrated capability for oral and written communications.",5,General Dynamics Information Technology,
286,Sr. Configuration Management Specialist,120.25,122.82,125.45,128.13,130.88,133.68,,Bachelor's,"Conducts periodic site inventory in order to create and maintain inventories of equipment, software, and/or systems; prepares, maintains and inventories associated technical drawings for assigned projects; researches data, and creates and maintains inventory and other databases for assigned projects; prepares configuration change requests and verifies, tracks, and documents configuration changes; performs logistic-related tasks like shipping/receiving, tracking, and disposal of equipment, software, and/or systems; coordinates equipment/software utilization among individual users; provides documentation support for assigned projects; performs quality assurance checks on drawings prepared by other configuration management specialists; may serve as a team or task lead; may supervise and direct the work of other configuration management specialists; provides training on configuration management processes, software, and/or systems.",7,General Dynamics Information Technology,
287,Training Specialist/Instructor,74.91,76.52,78.15,79.83,81.54,83.28,,Bachelor's,"Conducts the research necessary to develop and revise training courses. Develops and revises these courses and prepares appropriate training catalogs. Prepares all instructor materials (course outline, background material, and training aids). Prepares all student materials (course manuals, workbooks, handouts, completion certificates, and course critique forms). Trains personnel by conducting formal classroom courses, workshops and seminars.",4,General Dynamics Information Technology,
288,Sr. Training Specialist/Instructor,99.23,101.35,103.52,105.74,108.0,110.31,,Bachelor's,"Conducts the research necessary to develop and revise training courses and prepares appropriate training catalogs. Prepares all instructor materials (course outline, background material, and training aids). Prepares all student materials (course manuals, workbooks, handouts, completion certificates, and course critique forms). Trains personnel by conducting formal classroom courses, workshops, and seminars. Provides daily supervision and direction to staff.",6,General Dynamics Information Technology,
289,Training Specialist,74.91,76.52,78.15,79.83,81.54,83.28,,Associate's,Designs training objectives; develops computer-based training programs for assigned software; designs courseware and structures training classes; creates lesson text; provides documentation for software training; designs program authoring systems; creates final version of training programs; presents training programs to users; designs program flowcharts; may serve as a team lead.,3,General Dynamics Information Technology,
290,Sr. Training Specialist,99.12,101.25,103.41,105.63,107.89,110.19,,Associate's,"Defines training requirements and analyzes system software changes; develops computer-based training objectives and methodologies; coordinates with subject matter experts to design training strategy; designs courseware, including structuring training classes; creates lesson text; provides documentation for software training; tests training programs and edits for effectiveness, creates final version; designs program authoring systems; presents training programs to users, validates and evaluates training effectiveness; designs program flowcharts; may develop multi-media training as required; conducts research into new training, educational, and multimedia technologies; may serve as a team or task lead.",7,General Dynamics Information Technology,
291,Principal Training Specialist,119.57,122.13,124.75,127.42,130.14,132.93,,Associate's,"Designs and develops instructional approaches and/or strategies to meet training requirements; conducts analysis of training requirements and media requirements; develops appropriate training objectives and test methods and designs instructionally valid training materials; ensures integrity of task analysis, training requirements, training hierarchies, instructional materials, and evaluation plans; designs and develops computer-based training, web-based training, electronic performance support systems and other technology-based learning solutions; develops flow diagrams and story boards; designs instructionally sound lessons in a variety of delivery media; interacts with customer and subject matter experts to ensure technical accuracy of instructional content. Also provides guidance and work leadership to lower-level personnel and may serve as technical team or task lead.",10,General Dynamics Information Technology,
292,Testing and Validation Specialist,68.29,69.75,71.25,72.77,74.33,75.92,,Bachelor's,"Designs and develops assessment instruments and/or strategies to meet training requirements; conducts analysis of training requirements (needs, job, task analysis); interviews subject matter experts or incumbents to collect information; develops relevant and measurable assessment criteria, standards, and methodologies; designs reliable and valid assessment materials; gathers data and compiles information into documents related to assessment.",0,General Dynamics Information Technology,
293,Principal Testing and Validation Specialist,108.12,110.44,112.8,115.21,117.68,120.2,,Master's,"Designs and develops assessment instruments and/or strategies to meet training requirements; conducts analysis of training requirements (needs, job, task analysis); interviews subject matter experts or incumbents to collect information; develops relevant and measurable assessment criteria, standards, and methodologies; designs reliable and valid assessment materials; prepares reports and technical documentation related to assessment; works on complex analysis or test development projects. Serves as a technical team/task lead and may have supervisory responsibility.",5,General Dynamics Information Technology,
294,Instructional System Designer,85.85,87.69,89.57,91.48,93.44,95.44,,Bachelor's,"Designs and develops instructional approaches and/or strategies to meet training requirements; conducts analysis of training requirements and media requirements; develops appropriate training objectives and test methods and designs instructionally valid training materials; ensures integrity of task analysis, training requirements, training hierarchies, instructional materials, and evaluation plans; designs and develops computer based training, web-based training, electronic performance support systems and other technology-based learning solutions; develops flow diagrams and story boards; designs instructionally sound lessons in a variety of delivery media; interacts with customer and subject matter experts to ensure technical accuracy of instructional content.",2,General Dynamics Information Technology,
295,Sr. Instructional System Designer,102.18,104.37,106.6,108.88,111.21,113.59,,Master's,"Designs and develops instructional approaches and/or strategies to meet training requirements; conducts analysis of training requirements and media requirements; develops appropriate training objectives and test methods and designs instructionally valid training materials; ensures integrity of task analysis, training requirements, training hierarchies, instructional materials, and evaluation plans; designs and develops computer based training, web-based training, electronic performance support systems and other technology-based learning solutions; develops flow diagrams and story boards; designs instructionally sound lessons in a variety of delivery media; interacts with customer and subject matter experts to ensure technical accuracy of instructional content; may provide guidance and work leadership to lower-level personnel.",5,General Dynamics Information Technology,
296,Staff Graphics Design Specialist,77.56,79.22,80.91,82.64,84.41,86.22,,Associate's,"Performs a wide variety of graphics/illustration activities to produce brochures, briefings, displays, and other materials; involved in all aspects of graphics/illustration projects from conceptualization and development to final presentation; may act as a technical consultant on matters of design, composition and methods of presenting technical data; uses a broad range of graphics production software and equipment; exercises creative judgment and originality by translating needs into graphics capabilities; may participate in website design.",5,General Dynamics Information Technology,
297,Sr. Graphics Design Specialist,89.44,91.35,93.31,95.3,97.34,99.43,,Associate's,"Performs high-level computer graphic design activities to produce brochures, briefings, displays, and other materials; involved in all aspects of graphics/illustration projects from conceptualization and development to final presentation; may act as a technical consultant on matters of design, composition and methods of presenting technical data; uses a broad range of graphics production software and equipment; exercises creative judgment and originality by translating needs into graphics capabilities; may participate in website design; provides technical training and guidance to lower-level graphics personnel and may act as a team or task lead.",8,General Dynamics Information Technology,
298,Principal Graphics Design Specialist,108.12,110.44,112.8,115.21,117.68,120.2,,Associate's,"Provides full supervision and training for graphic design personnel, directing the production of graphics projects from design through final presentation; acts as a technical consultant on matters of design, composition and methods of presenting technical data; uses a broad range of graphics production software and equipment; exercises creative judgment and originality by translating needs into graphics capabilities; may participate in website design; acts as a team or task lead.",9,General Dynamics Information Technology,
299,Contract Administrator,77.94,79.61,81.32,83.06,84.83,86.65,,Bachelor's,"Performs all duties of contract administration, including negotiation, correspondence, documentation, certification, financial reporting, and product delivery; implements subcontract administration procedures; negotiates contract terms from proposal stage to project close-out in accordance with relevant regulations; prepares and submits proposals including pricing and scheduling details and coordination of requirements; prepares consulting agreements; modifies contract schedules and participates in vendor reseller agreement negotiations when required; ensures timely processing of technical reports and deliverables; collects data for clients as requested.",2,General Dynamics Information Technology,
300,Sr. Contract Administrator,104.56,106.8,109.08,111.42,113.8,116.24,,Bachelor's,"Performs all duties of contract administration, including negotiation, correspondence, documentation, certification, financial reporting, and product delivery for complex contracts; implements subcontract administration procedures; negotiates contract terms from proposal stage to project close-out in accordance with relevant regulations; coordinates approval of negotiations, contracts, and subcontracts with appropriate management staff; provides advice and interpretation of contract requirements; reviews solicitation requests to ensure compliance with terms and conditions; prepares and submits cost proposals including pricing and scheduling details, coordination of requirements, and cost proposal risk assessment; prepares responses to certifications and representations; prepares consulting agreements; modifies contract schedules and participates in vendor reseller agreement negotiations when required; ensures timely processing of technical reports and deliverables; coordinates with program managers to ensure contract requirements are fulfilled; collects data for clients as requested; may provide work leadership to lower level contracts personnel.",5,General Dynamics Information Technology,
301,Program Management Specialist,75.63,77.25,78.9,80.59,82.32,84.08,,Bachelor's,"Responsible for management, performance and completion of projects associated with a contract program; collects and evaluates data for monitoring development and lifecycle requirements of various programs and systems; creates program cost estimates to support program cost/schedule/technique audits or to generate budget submissions; manages program staff; prepares management plans, budgets and schedules; uses and develops CPM and PERT evaluation techniques; uses computer programs and models to track program data; maintains contact with customer to ensure conformance to customer requirements.",3,General Dynamics Information Technology,
302,Sr. Program Management Specialist,99.69,101.83,104.01,106.23,108.51,110.83,,Bachelor's,"Responsible for management, performance and completion of significant projects associated with a contract program; collects and evaluates data for monitoring development and life-cycle requirements of various programs and systems; creates program cost estimates to support program cost/schedule/technique audits or to generate budget submissions; manages and coordinates projects of considerable scope and magnitude; manages program staff; oversees the development of design concepts and test criteria; prepares management plans, budgets and schedules; uses and develops CPM and PERT evaluation techniques; uses computer programs and models to track program data; maintains contact with customer to ensure conformance to customer requirements.",6,General Dynamics Information Technology,
303,Principal Program Management Specialist,114.91,117.37,119.88,122.45,125.07,127.75,,Bachelor's,"Responsible for management, performance and completion of major projects associated with a contract program; collects and evaluates data for monitoring development and life-cycle requirements of various programs and systems; creates program cost estimates to support program cost/schedule/technique audits or to generate budget submissions; manages and directs, with full authority, all phases of a program from inception to completion; manages program staff; oversees the development of design concepts and test criteria; reviews project and program schedules and plans and reports on alternative courses of action and potential impacts; directs, prepares and coordinates proposal preparation, management plans, budgets and schedules; uses and develops CPM and PERT evaluation techniques; uses computer programs and models to track program data; maintains contact with customer to ensure conformance to customer requirements.",8,General Dynamics Information Technology,
304,Sr. Documentation Specialist,93.57,95.57,97.61,99.7,101.84,104.02,,Associate's,"Collects and organizes information required for preparation of user’s manuals, training materials, installation guides, and reports at a complex level; researches and learns the assigned system; interviews key personnel; writes materials; performs detailed edits of contract deliverables, proposals, brochures, press releases, and other materials to ensure technical accuracy, consistency, and adherence to specified content and format; participates in the writing, design, and development of marketing brochures, advertisements, news releases, feature articles, conference programs and proceedings, public relations announcements, newsletters, and other materials; designs, develops, produces, maintains, and manages client web sites as assigned; rewrites technical materials and coordinates with technical personnel to ensure accuracy; compiles and collects information for the preparation of technical proposals; Creates multi-media presentation materials, including slides; may participate in the coordination of and attend various conferences and meetings; may serve as a team lead.",8,General Dynamics Information Technology,
305,Technical Editor,98.0,100.1,102.24,104.43,106.66,108.94,,Bachelor's,"Prepares and edits a wide variety of complex technical materials for publication, including user’s manuals, training materials, installation guides, proposals, and reports; reviews, researches, and edits information for preparation of contract deliverables; provides support to the creation of proposals and multi-media presentation materials, including slides; responsible for the coordination of multiple aspects of document publication; participates in the design and development of marketing brochures, conference programs and proceedings, public relations announcements, and other materials when requested; may supervise and direct the work of word processing, graphics and/or technical writing staff; coordinates and attends various conferences and meetings; plans budgets, schedules and priority of work for publications projects.",5,General Dynamics Information Technology,
306,Imagery Analyst,108.96,111.3,113.68,116.11,118.59,121.13,,Bachelor's,"Provides analysis and research for national security, infrastructure, technology, country, geographic area, biographic and targeted vulnerability. Prepares assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information within Earth Observation Services. Assists with development of analytical procedures to meet changing requirements and ensure maximum operational success. Collects data using a combination of standard intelligence methods and business processes. Performs data collection, analysis, interpretation, and management duties. Prepares presentations that reflect the results of the data analysis. Works with scientists and other technical experts to design and develop statistical analyses methodologies. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",2,General Dynamics Information Technology,
307,Imagery Sr. Analyst,125.3,127.98,130.72,133.52,136.37,139.29,,Bachelor's,"Provides analysis and research for national security, infrastructure, technology, country, geographic area, biographic and targeted vulnerability. Prepares assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information. Develops and maintains analytical procedures to meet changing requirements and ensure maximum operational success within Earth Observation Services. Collects data using a combination of standard intelligence methods and business processes. Performs and manages data collection, analysis, interpretation, and management duties. Prepares presentations that reflect the results of the data analysis. Provides data-related training to staff. Coordinates with scientists and other technical experts to design and develop statistical analyses methodologies. May provide guidance and work leadership to less-experienced staff. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",5,General Dynamics Information Technology,
308,Imagery Principal Analyst,144.54,147.63,150.79,154.02,157.31,160.68,,Bachelor's,"Prepares and reviews assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information. Develops, supervises, and maintains analytical procedures to meet changing requirements and ensure maximum operational success. Oversees the collection of data using a combination of standard intelligence methods and business processes. Manages data collection, analysis, interpretation, and management duties. Delivers presentations that reflect the results of the data analysis. Develops and provides data-related training to staff. Coordinates with scientists and other technical experts to design and develop statistical analyses methodologies. Provides guidance and work leadership to less-experienced staff. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",8,General Dynamics Information Technology,
309,Imagery Sr. Principal Analyst,191.18,195.27,199.45,203.72,208.08,212.53,,Master's," Conducts Multi-INT research, populates intelligence databases, and produces written, graphic, and oral intelligence products. Prepares expert assessments of current threats and trends based on sophisticated GEOINT collection, research, and analysis of classified and unclassified imagery. Understands the DOD and Intelligence Community (IC) reporting and classification standards. Develops and maintains remotely sensed imagery analytical procedures to meet changing requirements and ensure maximum operational success. Builds expert level Advanced Geospatial Intelligence (AGI) collection requirements to answer intelligence requirements. Performs and manages data collection, analysis, interpretation, and management duties. Provides GEOINT related training to staff. Coordinates with physical and imagery scientists and other technical experts to design and develop statistical analyses. May provide guidance and work leadership to less-experienced staff. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",20,General Dynamics Information Technology,
310,Geospatial Analyst,115.75,118.23,120.76,123.34,125.98,128.68,,Bachelor's," Provides analysis and research for national security, infrastructure, technology, country, geographic area, biographic and targeted vulnerability. Prepares assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information. Assists with development of analytical procedures to meet changing requirements and ensure maximum operational success. Collects data using a combination of standard intelligence methods and business processes. Collects data using a combination of standard intelligence methods and business processes. Performs data collection, analysis, interpretation, and management duties. Prepares presentations that reflect the results of the data analysis. Works with scientists and other technical experts to design and develop statistical analyses methodologies. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",2,General Dynamics Information Technology,
311,Geospatial Sr. Analyst,133.1,135.95,138.86,141.83,144.87,147.97,,Bachelor's,"Provides analysis and research for national security, infrastructure, technology, country, geographic area, biographic and targeted vulnerability. Prepares assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information. Develops and maintains analytical procedures to meet changing requirements and ensure maximum operational success. Collects data using a combination of standard intelligence methods and business processes. Performs and manages data collection, analysis, interpretation, and management duties. Prepares presentations that reflect the results of the data analysis. Provides datarelated training to staff. Coordinates with scientists and other technical experts to design and develop statistical analyses methodologies. May provide guidance and work leadership to less-experienced staff. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",5,General Dynamics Information Technology,
312,Geospatial Principal Analyst,149.13,152.32,155.58,158.91,162.31,165.79,,Bachelor's,"Provides analysis and manages research methods for national security, infrastructure, technology, country, geographic area, biographic and targeted vulnerability within the GEOINT environment. Prepares and reviews assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information. Develops and maintain rules and methodologies for analytical procedures to meet changing requirements and ensure maximum operational success. Oversees the collection of data using a combination of standard intelligence methods and business processes. Performs data collection, analysis, interpretation and management duties; delivers presentations that reflect the results of the data analysis and provides data related training to staff. Coordinates with scientists and other technical experts to design and develop statistical analyses methodologies. Provides guidance and work leadership to less-experienced staff. Maintains current knowledge of relevant technologies and subject areas. Participates in special projects as required.",8,General Dynamics Information Technology,
313,Geospatial Sr. Principal Analyst,191.18,195.27,199.45,203.72,208.08,212.53,,Master's,"Provides analysis and research for national security, infrastructure, technology, country, geographic area, biographic and targeted vulnerability. Delivers assessments of current threats and trends based on the sophisticated collection, research and analysis of classified and open source information. Develops and supervises analytical procedures to meet changing requirements and ensure maximum operational success. Supervises collection of data using a combination of standard intelligence methods and business processes. Performs data collection, analysis, interpretation and management duties. Delivers presentations and maintains digital Geospatial Services that reflect the results of the data analysis. Understands the DOD and Intelligence Community (IC) reporting and classification standards. Develops and maintains remotely sensed imagery analytical procedures to meet changing requirements and ensure maximum operational success. Develops and provides data-related training to staff. Coordinates with scientists and other technical experts to design and develop statistical analyses methodologies. Provides guidance and work leadership to lessexperienced staff. Maintains current knowledge of relevant technologies and subject areas of staff. Participates in special projects as required.",20,General Dynamics Information Technology,
314,Jr. Computer Programmer/Analyst,64.26,65.64,67.04,68.48,69.94,71.44,,Bachelor's,"Tests assigned software units to ensure accurate design; evaluates, reports, and corrects any discrepancies found during the testing process; configures computers and other peripherals; makes software changes when needed; codes programs to improve program effectiveness and efficiency; works with customers/clients to identify and solve programming problems; creates, modifies, and maintains new software applications as assigned; troubleshoots various software products to determine source of errors; prepares and updates operating procedures, specifications, and other documentation of various software products; may assist in the design and development of computer-based and/or multimedia courseware for customer training initiatives; installs software products on computer hardware.",0,General Dynamics Information Technology,
315,Jr. Computer Systems Analyst,67.36,68.8,70.27,71.77,73.31,74.88,,Associate's,"Analyzes user needs and identifies resources required for each task to determine functional requirements; codes applications and tests to software requirements; assists in design and development of new systems or modifies existing systems that meet the user’s needs; assists higher-level analysts in analyzing alternative systems, cost aspects and feasibility factors; writes or updates software specifications; records all inputs and outputs of systems, including file sizes, data bank requirements, variability of information and appropriate statistical measures such as frequency, volume, peaking, etc; prepares appropriate documentation for new or existing systems; troubleshoots and provides technical support and solutions to users.",0,General Dynamics Information Technology,
316,System Administrator/Operator,63.92,65.29,66.69,68.11,69.57,71.06,,Associate's,"Designs, installs, modifies and maintains local area networks (LANs). Responsible for troubleshooting and making necessary adjustments in network operating system, software and hardware. Works with other staff to design, develop, install, test, debug, modify and maintain distributed processing databases on the LAN.",4,General Dynamics Information Technology,
317,Jr. Computer Operator,46.13,47.11,48.12,49.15,50.2,51.28,,HS,"Performs duties to operate computer and peripheral equipment such as printers, tape and disk drives; sets up, monitors, and controls computer and peripheral equipment; maintains records regarding output units and supply inventories; sets up printers for routine print jobs; assists in performing back-ups; routes error messages to appropriate personnel.",0,General Dynamics Information Technology,
318,Computer Operator,51.64,52.75,53.88,55.03,56.21,57.41,,HS,Must have at least three years’ experience of which at least one year must be specialized to include supervisory computer operator experience.,3,General Dynamics Information Technology,
319,Network/Computer Support Technician,63.92,65.29,66.69,68.11,69.57,71.06,,HS,"Responsible for information systems and network operations, network management and any ancillary IT support functions.",2,General Dynamics Information Technology,
320,Sr. Network/Computer Support Technician,70.83,72.35,73.89,75.47,77.09,78.74,,HS,"Responsible for information systems and network operations, network management and any ancillary IT support functions--assists with the installation and configuration of computer hardware; provides end-user software troubleshooting and support; provides network troubleshooting and support; diagnoses hardware, software and operator problems and corrects them as instructed; participates in the development of IT infrastructure processes; may provide end-user training.",3,General Dynamics Information Technology,
321,Telecommunications Analyst,76.92,78.56,80.25,81.96,83.72,85.51,,Associate's,"Evaluates, designs, and maintains existing and proposed data telecommunications systems; analyzes the telecommunications needs of the user and recommends solutions; designs, develops, and tests telecommunications software solutions; prepares detailed specifications and flow charts for implementation of new internal programs or modification to vendor software; coordinates installation of equipment; monitors the operations of telecommunications systems and services of vendors; provides end user training of telecommunications features and functionality.",1,General Dynamics Information Technology,
322,Jr. Help Desk Technician,57.54,58.77,60.03,61.31,62.62,63.96,,HS,"Requires no experience and basic knowledge of the principles, methods, and techniques used in network troubleshooting and support as well as modems, data scopes, patch panels, concentrators, associated terminals, and network management software. Knowledge of or certification in one or more specific applications or processes may be required, depending on job assignment.",0,General Dynamics Information Technology,
323,Help Desk Technician,63.92,65.29,66.69,68.11,69.57,71.06,,HS,"Participates in the installation, configuration, and upgrade of computer hardware and software; provides end-user software troubleshooting and support; applies diagnostic techniques to identify problems, investigate causes, and recommend solutions; provides network troubleshooting and support; assists in the administration of e-mail systems; provides phone and help-desk support for local and off-site users.",1,General Dynamics Information Technology,
324,Sr. Help Desk Technician,70.83,72.35,73.89,75.47,77.09,78.74,,HS,"Performs installation, configuration, and upgrade of computer hardware and software; provides end-user software troubleshooting and support; applies advanced diagnostic techniques to identify problems, investigate causes, and recommend solutions; provides network troubleshooting and support; may participate in the administration and design of websites; participates in the administration of e-mail systems; provides phone and help-desk support for local and off-site users; assists lower level technicians with complex problems.",3,General Dynamics Information Technology,
325,Electronics/Electrical Technician,64.53,65.91,67.32,68.76,70.23,71.74,,HS,"Responsible for conducting design, installation, check-out, testing, troubleshooting and repair of electronic equipment. Responsible for the installation, alteration and repair of electrical systems and components. Installations must be accomplished to comply with applicable codes and technical specifications.",3,General Dynamics Information Technology,
326,Logistics Specialist,69.6,71.09,72.61,74.17,75.75,77.37,,HS,"Identifies Configuration Items (CI) and establishes and maintains a CI baseline inventory database. Conducts periodic audits of DI’s to monitor the status of the inventory. Originates and maintains Configuration Management (CM) databases, files and drawings. Maintains spare parts, equipment and consumable inventory databases. Issues supplies and equipment. Maintains statistical analysis of usage.",3,General Dynamics Information Technology,
327,Jr. Graphics Design Specialist,49.94,51.0,52.1,53.21,54.35,55.51,,HS,Shall support the development of all contract deliverables and reports by developing and updating graphics presentations to improve the quality and enhance the usability of these documents. Shall be responsible for integrating the graphics generated with automated tools and the deliverable documents.,0,General Dynamics Information Technology,
328,Graphics Design Specialist,61.88,63.2,64.55,65.93,67.34,68.79,,Associate's,"Participates in the design, layout, and production of brochures, pamphlets, briefings, displays, and other materials; makes recommendations on methods and materials; assist in the creation of overhead presentations, including graphics, charts, photos, and clip-art; creates displays to represent certain accomplishments to be highlighted; creates other graphic materials at client request, including scanned documents, photography, or signs; determines style, size and arrangement of type and illustrations; may participate in the design and creation of videos using computer and video equipment and cameras; may work from rough sketches, engineering drawings or other documentation; may exercise creative judgment by translating needs into graphics capabilities; uses various computer graphics software programs.",3,General Dynamics Information Technology,
329,Videographer/Editor,57.71,58.94,60.2,61.49,62.81,64.15,,Associate's,"Sets up and operates video cameras and related audio, lighting and recording equipment used in instructional systems and incorporating interactive video disk technology; performs off-line video editing; advises producer/director regarding shot composition and assists in post production shot selection; accomplishes off-line video narrative, editing, special effects and animation along with quality control of off-line video tape; may develop computer graphics; functions as an on-site team participant under the direction of the producer/director.",0,General Dynamics Information Technology,
330,Jr. Program Management Specialist,76.58,78.21,79.89,81.6,83.34,85.13,,Bachelor's,"Responsible for management, performance and completion of routine projects associated with a contract program; collects and evaluates data for monitoring development and life-cycle requirements of various programs and systems; creates program cost estimates to support program cost/schedule/technique audits or to generate budget submissions; uses computer programs and models to track program data; maintains contact with customer to ensure conformance to customer requirements.",0,General Dynamics Information Technology,
331,Jr. Program Support Specialist,39.6,40.44,41.31,42.19,43.1,44.02,,Associate's,"Provides program analytical support for the day-to-day operations as well as long range appraisal and decision processes; acquires, maintains, retrieves and analyzes technical and financial program data using various database programs; interprets, integrates and disseminates large volumes of technical data; assists in generating, processing and monitoring program requirements for activities and documents; coordinates and schedules meetings for management; assists with the preparation of monthly status reports of task accomplishments, financial data, and staffing reports.",0,General Dynamics Information Technology,
332,Program Support Specialist,45.69,46.67,47.67,48.69,49.73,50.79,,Bachelor's,"Provides program analytical support for the day-to-day operations as well as long range appraisal and decision processes; acquires, maintains, retrieves and analyzes technical and financial program data using various database programs; applies program knowledge and experience to identify and meet current and future program requirements; interprets, integrates and disseminates large volumes of technical data; generates, processes and monitors program requirements for activities and documents; coordinates and schedules meetings for customers and management; prepares regular status reports of task accomplishments, financial data, and staffing reports; coordinates the preparation of presentation materials and documents.",5,General Dynamics Information Technology,
333,Sr. Program Support Specialist,76.58,78.21,79.89,81.6,83.34,85.13,,Bachelor's,"Provides program analytical support for the day-to-day operations as well as long range appraisal and decision processes; acquires, maintains, retrieves and analyzes technical and financial program data using various database programs; applies program knowledge and experience to identify and meet current and future program requirements; interprets, integrates and disseminates large volumes of technical data; generates, processes and monitors program requirements for activities and documents; acts as liaison between management and the customer; coordinates and schedules meetings for customers and management; prepares regular status reports of task accomplishments, financial data, and staffing reports; prepares presentation materials and documents; may provide work leadership to lower level specialists.",7,General Dynamics Information Technology,
334,Jr. Admin/Data Analyst,35.06,35.81,36.58,37.36,38.16,38.98,,HS,"Responsible for input and verification of data; reviews source documents for accuracy of input data; reviews, follows up and resolves errors during processing cycle; maintains files; reviews and distributes reports.",0,General Dynamics Information Technology,
335,Admin/Data Analyst,38.25,39.07,39.9,40.76,41.63,42.52,,HS,"Responsible for input and verification of data; reviews source documents for accuracy of input data; reviews, follows up and resolves errors during processing cycle; may be responsible for integrity of certain database information; investigates questionable data and takes corrective action when necessary; maintains files; generates reports and may analyze specific database information.",2,General Dynamics Information Technology,
336,Documentation Specialist,65.44,66.84,68.27,69.73,71.23,72.75,,HS,"Composes and finalizes technical documentation including specifications, user manuals, etc. in the style, content and format required by the relevant standards using input received from technical personnel.",0,General Dynamics Information Technology,
337,Technical Writer,79.17,80.86,82.59,84.36,86.16,88.01,,Bachelor's,"Assist in collection and organizing information required for preparation of user manuals, training materials, installation guides, proposals, and reports. Edit functional descriptions, system specifications, user manuals, special reports, or any other customer deliverables and documents. Assists in performing financial and administrative functions.",3,General Dynamics Information Technology,
